,gender,email,phone,cell,nat,name_title,name_first,name_last,location_street_number,location_street_name,location_city,location_state,location_country,location_postcode,location_coordinates_latitude,location_coordinates_longitude,location_timezone_offset,location_timezone_description,login_uuid,login_username,login_password,login_salt,login_md5,login_sha1,login_sha256,dob_date,dob_age,registered_date,registered_age,id_name,id_value,picture_large,picture_medium,picture_thumbnail
46,female,franciane.araujo@example.com,(17) 6377-3160,(14) 2253-2177,BR,Mrs,Franciane,Araújo,510,Travessa dos Martírios,Franco da Rocha,Alagoas,Brazil,55697,40.1258,-13.1480,-6:00,"Central Time (US & Canada), Mexico City",a3dd45c9-d73c-4ead-bbaa-39f28a7599f0,angrytiger308,blazers,T1Lh6rKs,df87ff9c635e092b26eaa602c76cadef,1989d378c67d8867fbe7a2a7dcc1a85b8976743c,ccaec11c32876c6500bbcc62ae0c8895707d65cdef4ed7a499222e973e132d7d,1969-07-19T07:52:44.831Z,53,2005-09-19T10:57:48.617Z,16,CPF,754.761.941-02,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg
70,female,miucha.rezende@example.com,(22) 0122-5909,(04) 5517-1055,BR,Miss,Miúcha,Rezende,1972,Rua João Xxiii,Santarém,Alagoas,Brazil,56627,86.0993,140.7874,-12:00,"Eniwetok, Kwajalein",1fd93f73-e040-4af6-8887-560fdcbf5fcc,whiteostrich460,2525,jirU7k1Y,0acc914fe38c7c3ece53d33043ae3c2e,363f437011f9d34c51f2735029f075b009951cf2,7a2f587e2e4b29259c6b664a39bf3e7cfb6a0bf6e7ea98e37917cf55e4eea96a,1990-09-18T10:10:29.887Z,31,2018-09-12T11:32:52.243Z,3,CPF,312.785.558-81,https://randomuser.me/api/portraits/women/17.jpg,https://randomuser.me/api/portraits/med/women/17.jpg,https://randomuser.me/api/portraits/thumb/women/17.jpg
78,female,selmira.monteiro@example.com,(13) 1849-2309,(51) 5802-3062,BR,Mrs,Selmira,Monteiro,4181,Rua Amazonas ,Cascavel,Alagoas,Brazil,23466,8.9949,-47.5957,-6:00,"Central Time (US & Canada), Mexico City",43ccb87c-a1f7-4213-b6d6-d54a7dcedec3,happymouse378,virus,GoFaFEim,5dbbe5a5d63edca7607d99930c1a9f2f,ffbb7e00db129a095377a519e0d4f41dd86b5da4,ec73c4bd9070db23c3b1e98a3f1cd5b1f4419b273582264d1ce0d9e77553d724,1977-06-08T00:00:40.611Z,45,2019-02-01T12:53:51.187Z,3,CPF,618.331.252-90,https://randomuser.me/api/portraits/women/68.jpg,https://randomuser.me/api/portraits/med/women/68.jpg,https://randomuser.me/api/portraits/thumb/women/68.jpg
99,female,ivanice.pinto@example.com,(95) 4730-7826,(37) 9108-0909,BR,Miss,Ivanice,Pinto,5892,Rua Vinte E Quatro de Outubro,Vitória de Santo Antão,Alagoas,Brazil,88680,-24.2083,-35.2379,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",5390a664-8f5a-4109-be69-982152303cb1,ticklishlion342,felipe,sATIDnzv,8249ffc56be06aec5c409f1175c54fc2,ffe076450a750dfcea6d9ff284b3ff266e449e8a,8a0886846c0b72404d22f019d8c2b565361dddc45434058a9446b60133f2442e,1963-11-13T12:58:38.698Z,58,2010-12-25T17:21:58.919Z,11,CPF,805.661.916-61,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg
126,female,vanea.porto@example.com,(75) 8946-5701,(86) 1537-0458,BR,Ms,Vânea,Porto,2827,Rua Santa Luzia ,São José do Rio Preto,Alagoas,Brazil,79538,53.6261,-13.9328,+4:00,"Abu Dhabi, Muscat, Baku, Tbilisi",2f61c732-96bb-4d27-89ba-1a738cb2fbe2,yellowcat677,jokers,7AY87gwe,00536035d685eeb11b2d4cbbc38119b0,cb14a20d455ca5d501a20a824c088f8a1de571c4,0c9afa7371837906e17bd9d2c7755b1faaa0a5c67bfae707460dcfb158ccb3c1,1949-05-08T03:28:53.377Z,73,2011-11-29T20:44:05.591Z,10,CPF,126.968.042-73,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg
133,female,marinice.gomes@example.com,(14) 6964-7729,(72) 1288-5613,BR,Miss,Marinice,Gomes,5506,Rua Maranhão ,São Paulo,Alagoas,Brazil,64178,-24.7395,74.7428,+9:30,"Adelaide, Darwin",26218522-ebf6-44e4-aa5a-7e63efe8f997,lazyelephant938,lakers,HZI768RM,3d097aa6749e75b10f4e7671435f6bd5,02958bf18b717c7c23ba26464a711d14698359bc,b2c4bcf62bd3c142d20c700092cc28d04a25bc9bc98bdda8616e043d3defc131,1994-12-25T18:30:13.431Z,27,2017-05-24T19:37:24.900Z,5,CPF,316.563.014-25,https://randomuser.me/api/portraits/women/30.jpg,https://randomuser.me/api/portraits/med/women/30.jpg,https://randomuser.me/api/portraits/thumb/women/30.jpg
197,female,celma.darocha@example.com,(10) 7220-2400,(50) 6935-0003,BR,Miss,Celma,da Rocha,8543,Rua Santo Antônio ,Londrina,Alagoas,Brazil,73889,-17.1783,64.7340,+6:00,"Almaty, Dhaka, Colombo",0238db03-6d37-4f91-bb6b-8888dbc34848,purplecat472,boogie,EYGzfW1c,a95e85f035eee0241fd3a2642a39eeee,0cd78f4903ffbdc6100ba8dcc3fc233df7ff9fad,6020d94a3341830c347e448fd3d3843fa559256bd4b4455f90508b286a9d5a75,2001-04-03T07:22:07.683Z,21,2009-04-20T18:48:12.963Z,13,CPF,152.119.707-14,https://randomuser.me/api/portraits/women/25.jpg,https://randomuser.me/api/portraits/med/women/25.jpg,https://randomuser.me/api/portraits/thumb/women/25.jpg
228,female,licelia.darosa@example.com,(70) 8925-0637,(75) 0097-3233,BR,Mrs,Licélia,da Rosa,9444,Rua da Saudade,Jundiaí,Alagoas,Brazil,78913,67.0733,69.4768,-3:00,"Brazil, Buenos Aires, Georgetown",f91cc24f-6562-4e82-85af-27b833b9f5b8,purplepanda224,funny,TaXWcoiq,0984767cecad302b6af91184b32369b9,1160948e86a25a95f9ed0f7a98795eb292a5a1fa,31f6a44bc8a74fb05ba7c9d42eb98d75f768078069df4364a18c11dd7e2b87fb,1995-09-15T10:47:54.115Z,26,2009-04-24T13:24:24.923Z,13,CPF,339.591.386-31,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg
233,female,noris.dasneves@example.com,(35) 9959-6430,(65) 3460-3316,BR,Miss,Nóris,das Neves,4409,Rua São José ,Uruguaiana,Alagoas,Brazil,43618,24.5068,152.4596,+3:30,Tehran,e7a9480a-c0ed-4bf7-8146-5d7baab3e5f7,lazyswan638,viper,47BQsS0q,8513233d1c0406bc86f63413ac48a6c3,c992d670bbf1074bca864e5d922932c3155ad919,55aee97d843464d7ff5807a4f9b52ebe8ee44527655cf811ecc4c754c753e10b,1953-04-22T15:07:02.786Z,69,2004-11-10T21:34:49.561Z,17,CPF,351.733.784-88,https://randomuser.me/api/portraits/women/74.jpg,https://randomuser.me/api/portraits/med/women/74.jpg,https://randomuser.me/api/portraits/thumb/women/74.jpg
276,female,evelise.barros@example.com,(43) 5406-1320,(05) 9637-3217,BR,Mrs,Evelise,Barros,1307,Rua Santa Luzia ,Apucarana,Alagoas,Brazil,93016,56.8392,-30.2097,-2:00,Mid-Atlantic,900770a3-64ab-44b0-83fd-e1813a477146,beautifulduck706,bing,RfycM5Zq,e63336c42c636144340086a86f840311,a45e4152112237152c1a1eb53265b45493ea88dc,78d43f95cde3994dffe60f3f7d45b2895da403ffdf5e0aa4225459d24d5ef52b,1987-07-27T03:35:46.608Z,35,2020-12-27T07:40:49.795Z,1,CPF,737.855.214-20,https://randomuser.me/api/portraits/women/60.jpg,https://randomuser.me/api/portraits/med/women/60.jpg,https://randomuser.me/api/portraits/thumb/women/60.jpg
