,gender,email,phone,cell,nat,name_title,name_first,name_last,location_street_number,location_street_name,location_city,location_state,location_country,location_postcode,location_coordinates_latitude,location_coordinates_longitude,location_timezone_offset,location_timezone_description,login_uuid,login_username,login_password,login_salt,login_md5,login_sha1,login_sha256,dob_date,dob_age,registered_date,registered_age,id_name,id_value,picture_large,picture_medium,picture_thumbnail
47,female,gladis.ribeiro@example.com,(91) 9189-4246,(27) 0757-0137,BR,Mrs,Gládis,Ribeiro,3440,Rua Dom Pedro Ii ,Porto Alegre,Minas Gerais,Brazil,86975,-23.6200,-17.3450,+7:00,"Bangkok, Hanoi, Jakarta",34242349-73de-4556-9a41-3d710b038b53,purplemeercat653,kevin,Y515VnLJ,ce51ed8ba14250e1d57847b755d15e1d,852fb3a9ae641f6dc5f1f9faa76cb7f2343c410d,f1c6d218f1195db4396332776fe247e61c69bcc657d3ecb7e87b7b4f333a86be,1994-01-10T22:17:36.647Z,28,2012-04-20T10:25:32.325Z,10,CPF,337.311.557-99,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg
55,female,mile.porto@example.com,(72) 8049-2937,(48) 5206-7020,BR,Miss,Mile,Porto,9408,Rua Onze ,Uberlândia,Minas Gerais,Brazil,17101,27.1644,-60.7651,-12:00,"Eniwetok, Kwajalein",e7a07a56-2d3e-4c1a-9527-fa417fd96651,heavyleopard272,puppet,6kxKSYlU,845f3803fc93d18a95532cd744e45eae,85400d029fad7463a7b10f35b3fe0de20e7be2a8,8f7e2d9391f5eb2a7357308ab4873e374c0f64d09e196404f120f6aa9a670c32,1990-06-14T05:29:41.121Z,32,2017-03-02T15:55:32.789Z,5,CPF,616.644.341-72,https://randomuser.me/api/portraits/women/77.jpg,https://randomuser.me/api/portraits/med/women/77.jpg,https://randomuser.me/api/portraits/thumb/women/77.jpg
256,female,ercilia.caldeira@example.com,(41) 4570-8088,(07) 5314-0390,BR,Miss,Ercília,Caldeira,1677,Rua São José ,Passo Fundo,Minas Gerais,Brazil,98215,68.3441,85.2103,-10:00,Hawaii,a3283e32-22a4-41fd-ae41-29ebe2f7ada6,biggorilla563,acer,msCmoYyx,8dd2c07d935453bb5628495498cd9470,b3dcc1cee3e5f02a58f9c511ed06db07cd0bfd12,4617f02025216c68894abd847f84f54dc48ba4aa2b81601e57b428142e336373,1956-11-17T15:08:55.554Z,65,2019-02-20T11:44:34.901Z,3,CPF,483.892.229-34,https://randomuser.me/api/portraits/women/41.jpg,https://randomuser.me/api/portraits/med/women/41.jpg,https://randomuser.me/api/portraits/thumb/women/41.jpg
362,female,lucineide.rodrigues@example.com,(03) 7783-5893,(24) 3156-4921,BR,Ms,Lucineide,Rodrigues,6833,Rua Bela Vista ,Teixeira de Freitas,Minas Gerais,Brazil,74172,76.1249,126.1525,+2:00,"Kaliningrad, South Africa",f74fcc71-693e-44e9-9759-dd61bb4b23e0,silvergorilla643,teddybea,sRghZju3,1dd58eb832970b7edc0b35d5db7e6d8d,06791bad5b45c5c5c02ebf8cd22a8b767eff3c5e,b19ed0ed0ac41065746aa436f8ccba8760adaa840343afc6dbcc847c053ab820,1984-07-09T12:14:58.060Z,38,2008-09-27T04:48:57.985Z,13,CPF,183.060.138-09,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg
374,female,carlota.caldeira@example.com,(18) 0666-1109,(56) 6733-8452,BR,Ms,Carlota,Caldeira,4210,Rua Vinte de Setembro,Cascavel,Minas Gerais,Brazil,39450,24.8126,143.4525,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",ac294e58-0813-4c03-b79d-6c353e20f666,lazyelephant906,ladder,CVIVOUCx,c920de2ebbc4c4f58473f1d3a5c3517b,befedc4644bdabd5f36f49f016c62a9d35709536,281a5c6c57ed91546b2ab19471e7d5683ea1b0df45dbf5420c55bf88f0ee56eb,1957-05-01T15:53:37.797Z,65,2011-07-16T09:44:34.957Z,11,CPF,464.713.384-93,https://randomuser.me/api/portraits/women/95.jpg,https://randomuser.me/api/portraits/med/women/95.jpg,https://randomuser.me/api/portraits/thumb/women/95.jpg
431,female,graca.lopes@example.com,(99) 8950-8134,(09) 8748-8947,BR,Mrs,Graça,Lopes,4721,Rua Dom Pedro Ii ,Caraguatatuba,Minas Gerais,Brazil,55275,27.6873,-71.3187,+3:30,Tehran,1412ba7f-3473-43d6-a116-83d67269c0d1,bigmeercat652,plastics,BgTSDAa8,a4a28931167a2226a88b4a9025a3c449,a84462d8775b1cacc2b410ca6198b93767d7d2ca,7f32d89b514737ab3936a321e4941095eba12fcba628b380cc54b537e17d4a0a,1955-01-18T09:08:25.592Z,67,2019-09-20T19:48:48.927Z,2,CPF,900.557.064-19,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg
449,female,michelle.silva@example.com,(65) 3097-7563,(70) 9758-7395,BR,Ms,Michelle,Silva,4325,Rua Dezessete ,Pelotas,Minas Gerais,Brazil,19275,-28.8388,66.1478,+7:00,"Bangkok, Hanoi, Jakarta",d5f78272-9c6a-4469-abd5-16711e49e740,redbird844,booster,effwC5sM,ed94c6fe0210433bda97bcac8da284bb,8eaf20c5db96b5925a3fe2c93e4f1d70c062e8cb,6928b9a8e4e8c2b6866eb097f292dd978f482e19871916de2955ab86ae3aa096,1950-02-06T07:40:59.566Z,72,2008-07-15T12:14:44.233Z,14,CPF,250.499.973-32,https://randomuser.me/api/portraits/women/90.jpg,https://randomuser.me/api/portraits/med/women/90.jpg,https://randomuser.me/api/portraits/thumb/women/90.jpg
456,female,norberta.mendes@example.com,(54) 6874-9489,(65) 2486-4793,BR,Mrs,Norberta,Mendes,4231,Rua Paraíba ,Nilópolis,Minas Gerais,Brazil,27036,31.4832,-20.9315,-5:00,"Eastern Time (US & Canada), Bogota, Lima",7eb7b6d3-7def-4cde-b7d3-0fefe08d93bf,ticklishkoala642,clifton,xIu3YeOE,50d98131b46f45e873bb592081af95b5,4d36158dadff63363f5b10484594c0d2880b70f4,d2249023b79b82a0b8d64fde61f3e5ab3ced7448e90e4fc507f475473a238763,1960-10-22T11:58:37.271Z,61,2013-04-13T12:35:42.324Z,9,CPF,970.210.104-73,https://randomuser.me/api/portraits/women/35.jpg,https://randomuser.me/api/portraits/med/women/35.jpg,https://randomuser.me/api/portraits/thumb/women/35.jpg
530,female,daiara.desouza@example.com,(67) 1279-1451,(54) 2915-9245,BR,Mrs,Daiara,de Souza,4114,Rua Vinte E Quatro de Outubro,Belo Horizonte,Minas Gerais,Brazil,51363,-5.1560,-114.0928,+1:00,"Brussels, Copenhagen, Madrid, Paris",6334a399-3d3f-496c-b978-a34523b3b9c3,heavyfish363,ihateyou,05RFE3Ua,af99536641491dc8c7abca6c257dcbbf,fe6470b1992cee01b4885774ef9bdabfdad73b5a,e10c25cd14cbc2bddc447dbcbdfc9c16c894b4bb21acad1c0db15c6c6d9b489b,1975-02-25T01:32:12.006Z,47,2017-09-04T06:49:24.929Z,5,CPF,882.618.917-98,https://randomuser.me/api/portraits/women/67.jpg,https://randomuser.me/api/portraits/med/women/67.jpg,https://randomuser.me/api/portraits/thumb/women/67.jpg
590,female,aracema.lopes@example.com,(19) 0239-8264,(68) 4599-8034,BR,Ms,Aracema,Lopes,4388,Avenida D. Pedro Ii,Marabá,Minas Gerais,Brazil,14502,-55.7734,115.1160,-10:00,Hawaii,880f9e0f-e3b0-4b45-be3f-b9fccd164c08,purplemeercat950,unknown,uq2UMP6f,89775b0d59563376d781ce119b8be009,3cd15d0b890bb3f11a7460b5ffc516a2d30f8a1f,0a79e72537f9f9d5203df19189efac26594c55f0dddfed5873014c414f00db39,1988-12-16T09:38:22.207Z,33,2017-04-23T00:47:12.557Z,5,CPF,222.200.974-08,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg
