,gender,email,phone,cell,nat,name_title,name_first,name_last,location_street_number,location_street_name,location_city,location_state,location_country,location_postcode,location_coordinates_latitude,location_coordinates_longitude,location_timezone_offset,location_timezone_description,login_uuid,login_username,login_password,login_salt,login_md5,login_sha1,login_sha256,dob_date,dob_age,registered_date,registered_age,id_name,id_value,picture_large,picture_medium,picture_thumbnail
31,female,helen.cavalcanti@example.com,(29) 8301-1700,(00) 8810-3519,BR,Ms,Helen,Cavalcanti,5618,Rua Bela Vista ,Brusque,Paraná,Brazil,87365,4.2035,18.2144,+5:30,"Bombay, Calcutta, Madras, New Delhi",03a7bb47-071b-444f-8819-c8d70d7138ef,smallbutterfly980,miami,mzjB9iS7,e7d87a391600fa5abe07040afad6e8b6,899e42ae71d932f605f8e4665d95dd2d2750e92f,ee590e8e007e12086970d8464ba0484dd782e5544b21624dde39fbfe103251fc,1949-08-25T23:58:23.482Z,73,2004-10-17T09:22:01.800Z,17,CPF,348.138.822-16,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg
48,female,mirza.porto@example.com,(79) 0854-1651,(73) 8805-7194,BR,Ms,Mirza,Porto,6663,Rua São José ,Cabo de Santo Agostinho,Paraná,Brazil,79428,-81.3848,-177.2523,-4:00,"Atlantic Time (Canada), Caracas, La Paz",643a0ae9-596d-4865-ac38-f6327e5a9e8f,whitefish109,yummy,OaCexCkA,50c7fcdd72d490b748fd7c15c4be4535,270582acdfdc6ec0ca8926fbf5f184587d489323,55f7041015521c333d51e5b573be2fa2f34dc4f0f1504bc3206aa056562fb375,1995-09-23T06:43:31.432Z,26,2011-04-20T09:37:20.618Z,11,CPF,587.991.975-33,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg
91,female,candela.dacosta@example.com,(31) 5443-0533,(84) 9151-2897,BR,Ms,Candela,da Costa,5859,Avenida da Democracia,Cametá,Paraná,Brazil,97542,22.2483,160.2397,+11:00,"Magadan, Solomon Islands, New Caledonia",d512f03e-b76b-4872-8685-3a0ec34dbc00,purpleladybug889,barrett,z64Yu2We,58080e99d8c218b0545cb464a1fc20ae,d5c9d990401fafc1b180fc221e3fee84d395d8bf,446a3e1a671394069d68c1f18a4be2ed6ed2e3abed4de6ec25a46a79163b5638,1948-12-01T07:19:27.469Z,73,2020-10-14T12:55:53.334Z,1,CPF,808.258.566-89,https://randomuser.me/api/portraits/women/50.jpg,https://randomuser.me/api/portraits/med/women/50.jpg,https://randomuser.me/api/portraits/thumb/women/50.jpg
231,female,jadiara.dapaz@example.com,(69) 1169-5065,(59) 4307-5383,BR,Mrs,Jadiara,da Paz,112,Rua Santos Dumont ,Rio Branco,Paraná,Brazil,85061,87.5631,-13.7228,+2:00,"Kaliningrad, South Africa",b2f1df62-0145-4445-8d20-77085698b81a,ticklishgoose736,topcat,7a1i6qQq,23ad2be03aac60c29f899a366ba3f860,d9aec5c98b8c9dd728d81bb03521472a80d04b98,8fc5c2cd83cb010e8602513d0182c19df0d6d6101127fe1f066ad1ce49993607,1975-11-25T11:08:41.446Z,46,2013-01-04T21:51:41.649Z,9,CPF,345.086.375-56,https://randomuser.me/api/portraits/women/81.jpg,https://randomuser.me/api/portraits/med/women/81.jpg,https://randomuser.me/api/portraits/thumb/women/81.jpg
246,female,cristiane.barros@example.com,(54) 6755-2536,(05) 7598-1281,BR,Mrs,Cristiane,Barros,6667,Rua Santa Luzia ,Teófilo Otoni,Paraná,Brazil,33632,45.4284,-57.8048,-5:00,"Eastern Time (US & Canada), Bogota, Lima",4baad0ae-9fc7-4e13-8414-3dda44217bc5,purplezebra490,darkstar,NYVe7isT,087b1863641a414837de62c9bdef3cdc,57ffc017c855909b36cf94d36d7d34452aa5d278,ad3d288d712ab497afd6e494d8eb411e4be3c1a6e42fdd96c2b586436d0fca89,1982-07-20T18:37:32.656Z,40,2020-03-18T12:34:32.293Z,2,CPF,862.103.528-41,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg
295,female,tinita.damota@example.com,(93) 9952-2795,(46) 1646-1669,BR,Ms,Tinita,da Mota,1777,Rua Boa Vista ,Itapetininga,Paraná,Brazil,59181,-51.2147,-0.0428,-6:00,"Central Time (US & Canada), Mexico City",b1ea851e-aaac-4f22-825b-b8e3860fc385,whitekoala204,apples,T88CBhZI,17924a0652087a25bf9eac080539a12e,b00ae9fe7303652d64124793339e6c5b6f79e4bc,8de9034f6ef87b23af55fd8209dda6d2d1e01fc4c90e0b7fe330bae510fdafef,1968-12-06T05:16:34.429Z,53,2015-09-18T09:21:14.238Z,6,CPF,969.360.023-68,https://randomuser.me/api/portraits/women/91.jpg,https://randomuser.me/api/portraits/med/women/91.jpg,https://randomuser.me/api/portraits/thumb/women/91.jpg
359,female,lelia.pereira@example.com,(77) 4324-7311,(83) 9459-8661,BR,Mrs,Lélia,Pereira,4264,Rua Rui Barbosa ,Rio Verde,Paraná,Brazil,74715,-89.9394,1.2846,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",be7c7692-9017-4037-a7cf-f3e2c1300baf,silvertiger705,coffee,ZeOOBIkZ,42b0f39a2fc24ef9ae2d43a46713fd70,d286027d278f74d416d00d7d210e1e2025714003,0c3be6bd88caed9766da833a099d4c53f1b8bbb2bfb96441de8619ec2d215378,1954-03-29T01:12:39.779Z,68,2003-04-01T09:21:38.181Z,19,CPF,953.361.887-74,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg
490,female,anesia.ribeiro@example.com,(12) 7822-9994,(52) 0624-6809,BR,Mrs,Anésia,Ribeiro,8024,Rua Amazonas ,Pinhais,Paraná,Brazil,78385,10.8673,121.7968,-10:00,Hawaii,11213b95-f693-4408-908e-9b86b088d0eb,smallgoose332,darthvad,aCQhwxNE,c20e8e28f6f39a426b207689ed81cfcb,a6237d101d39c52c3b455a25c9bfc1597c98ed8c,ae32ac17fab0614caacc44d3d9c8343c3a96d5b167163cbb1600da958e1be23e,1998-09-16T18:27:10.021Z,23,2022-04-12T20:10:17.361Z,0,CPF,643.775.226-34,https://randomuser.me/api/portraits/women/55.jpg,https://randomuser.me/api/portraits/med/women/55.jpg,https://randomuser.me/api/portraits/thumb/women/55.jpg
524,female,alexandra.oliveira@example.com,(80) 8372-2302,(81) 7610-1362,BR,Mrs,Alexandra,Oliveira,6336,Rua Dezessete ,Barbacena,Paraná,Brazil,95069,-36.3834,91.2723,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",334f1681-138e-4218-aeea-0fb1805f84a0,beautifulbird241,nostromo,tZaa1NyQ,c8816a5e08c691f6fa3a46de8c6cbdb4,71028593c7df1a6e9d872ef9fe375d1df874dbf6,556271948f5c4aa9a1609f85bba70b9ae602914f162c37e311e3b3feede43342,1952-12-31T01:48:49.454Z,69,2009-06-24T04:05:44.728Z,13,CPF,057.295.025-77,https://randomuser.me/api/portraits/women/29.jpg,https://randomuser.me/api/portraits/med/women/29.jpg,https://randomuser.me/api/portraits/thumb/women/29.jpg
571,female,daria.pereira@example.com,(35) 1527-0403,(72) 2483-6028,BR,Miss,Dária,Pereira,4294,Rua São Sebastiao ,Novo Hamburgo,Paraná,Brazil,67256,44.0926,130.4041,+1:00,"Brussels, Copenhagen, Madrid, Paris",3a639010-5d87-413f-a4ca-f7765b0eebae,greenelephant365,storage,lqqY7s8G,19af644ea3995af07b50678cc8ef464f,f2330339c0370b43a72e37e3e6c3e709e9947e11,ca7e084865c4478323ccb3fbb4b382c183a42bbcd0c09d6ff016a7455f192cc6,1946-02-13T00:04:00.260Z,76,2021-05-03T02:31:43.590Z,1,CPF,695.075.618-36,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg
633,female,dubia.porto@example.com,(64) 3840-6718,(76) 8258-8785,BR,Miss,Dúbia,Porto,4038,Travessa dos Açorianos,São Carlos,Paraná,Brazil,54258,58.0497,84.3727,-1:00,"Azores, Cape Verde Islands",ee2b3c1f-48a1-4713-a30d-2f4ce42b185c,angryladybug748,trojan,S8RLSGzM,2840ed58b0e74c44ab88a49bfc9b334d,15b41ff58677d7b4f0dc791a34172995062a1aec,22fd84f0d31e3060d1a55302ecdfb972e60725f903fc611d5d613385e8ecf79f,2000-05-06T04:35:28.185Z,22,2012-11-03T19:37:57.527Z,9,CPF,931.038.239-12,https://randomuser.me/api/portraits/women/5.jpg,https://randomuser.me/api/portraits/med/women/5.jpg,https://randomuser.me/api/portraits/thumb/women/5.jpg
914,female,zuleica.jesus@example.com,(14) 4986-9574,(28) 1325-5509,BR,Ms,Zuleica,Jesus,616,Avenida Vinícius de Morais,São Paulo,Paraná,Brazil,54445,-35.1814,-69.8205,-8:00,Pacific Time (US & Canada),71ca4366-c7a8-425d-a9f3-fc489ec8f2be,tinyleopard937,bruno1,Z0Tc4cHO,5885770a0532a9682b152e0a11c17d23,e447054e8e78cbd761f4cc52f380a9e934d44801,5c176323111a6747b02f7c67ea5caf336e129a184d1a4120c4ad464f4c30fa29,1949-09-08T15:35:31.733Z,73,2019-08-09T16:02:36.863Z,3,CPF,718.687.576-87,https://randomuser.me/api/portraits/women/85.jpg,https://randomuser.me/api/portraits/med/women/85.jpg,https://randomuser.me/api/portraits/thumb/women/85.jpg
985,female,isadora.araujo@example.com,(70) 2787-9718,(52) 3911-0071,BR,Miss,Isadora,Araújo,4006,Rua Duque de Caxias ,Nova Iguaçu,Paraná,Brazil,13814,77.5966,105.9192,-7:00,Mountain Time (US & Canada),6def0775-b8da-4e10-845f-ef436245afe5,tinyostrich210,philip,WmtyY0Lg,6c001385b3dc948cee79ee5298952c71,7207553a286b57957d67d640711ee76da458db98,8c2002a80534e6f8533a2d6d765951ee277898a786089729974086b7d27870b6,1952-11-04T07:20:11.070Z,69,2008-05-21T20:17:04.792Z,14,CPF,493.571.169-22,https://randomuser.me/api/portraits/women/52.jpg,https://randomuser.me/api/portraits/med/women/52.jpg,https://randomuser.me/api/portraits/thumb/women/52.jpg
