,gender,email,phone,cell,nat,name_title,name_first,name_last,location_street_number,location_street_name,location_city,location_state,location_country,location_postcode,location_coordinates_latitude,location_coordinates_longitude,location_timezone_offset,location_timezone_description,login_uuid,login_username,login_password,login_salt,login_md5,login_sha1,login_sha256,dob_date,dob_age,registered_date,registered_age,id_name,id_value,picture_large,picture_medium,picture_thumbnail
12,female,lindamir.alves@example.com,(17) 9537-4972,(45) 8112-0909,BR,Ms,Lindamir,Alves,6909,Rua João Xxiii,Teófilo Otoni,Santa Catarina,Brazil,90419,25.0338,89.3421,-9:00,Alaska,b0fe56b9-45ab-46f4-9973-d03269aa522b,silverleopard429,webmaster,A1ZtGGsV,7af75d910ad127c3b568a7457b489b65,6934b6d39312587f86f909d920e4ff901cc24bba,404d191f82a19049dacf96424058989684a3d80f49c2b1273457129e8e017b54,1985-06-24T19:10:19.539Z,37,2008-12-18T05:31:47.403Z,13,CPF,058.410.525-93,https://randomuser.me/api/portraits/women/54.jpg,https://randomuser.me/api/portraits/med/women/54.jpg,https://randomuser.me/api/portraits/thumb/women/54.jpg
84,female,zenia.novaes@example.com,(80) 2021-9950,(00) 1956-0494,BR,Mrs,Zênia,Novaes,3210,Travessa dos Martírios,Araraquara,Santa Catarina,Brazil,58539,-78.2161,25.2764,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",6e167a00-1c57-4d4b-b7d6-373708643a57,silverduck775,challeng,hmIW3wwh,9fbc0eba12277f24be38a5fbc5882cc2,733e30596b1f42cc31ec11ae98e3fc6fd8e7d014,42cbb3ef3d8899025334a9dc8346a11b1f148eac2e074c54dc87bac8a7780ca4,1992-11-18T05:35:37.673Z,29,2017-02-24T05:14:09.266Z,5,CPF,910.791.684-77,https://randomuser.me/api/portraits/women/37.jpg,https://randomuser.me/api/portraits/med/women/37.jpg,https://randomuser.me/api/portraits/thumb/women/37.jpg
109,female,gilciane.daconceicao@example.com,(36) 4265-1587,(68) 0166-5731,BR,Mrs,Gilciane,da Conceição,8742,Rua Tiradentes ,Guarujá,Santa Catarina,Brazil,93213,6.3329,68.1365,-6:00,"Central Time (US & Canada), Mexico City",4165a6db-2dd6-45d0-a7d1-274b899a3028,silverpeacock416,penelope,MMttBwiZ,537d08c469c488992be6d2adcd7dbd76,65ab0a47d1fd027751475e0bcb0af3184b47d71f,83da7e9bb6a95f4e739f0dd360f687aafc490e22833ae99ffb17a148a8f227bf,1992-12-15T23:41:46.919Z,29,2002-03-27T09:57:21.094Z,20,CPF,139.846.425-22,https://randomuser.me/api/portraits/women/45.jpg,https://randomuser.me/api/portraits/med/women/45.jpg,https://randomuser.me/api/portraits/thumb/women/45.jpg
271,female,noemi.gomes@example.com,(85) 2795-1841,(27) 1224-4032,BR,Ms,Noemi,Gomes,8220,Rua da Paz ,Jaú,Santa Catarina,Brazil,90872,2.1077,79.6243,-1:00,"Azores, Cape Verde Islands",d3d7506e-51aa-486e-bdc4-e1b2dcdbe26d,yellowwolf980,007007,7U33CD1o,5ef068a224d0df53afd81bc019013e14,569ab578c1fc8d917c2446ba53b383927be259aa,44ed34865ba1c43a24e68b0c438734cd508ff8c0a592de9283e6002d5681143f,1994-11-27T16:00:36.910Z,27,2003-03-31T23:06:18.835Z,19,CPF,623.585.040-87,https://randomuser.me/api/portraits/women/48.jpg,https://randomuser.me/api/portraits/med/women/48.jpg,https://randomuser.me/api/portraits/thumb/women/48.jpg
313,female,rogeria.darocha@example.com,(32) 4840-0361,(40) 7005-1633,BR,Mrs,Rogéria,da Rocha,8103,Avenida da Democracia,Recife,Santa Catarina,Brazil,39267,-22.9482,-65.5621,+7:00,"Bangkok, Hanoi, Jakarta",bf0e278d-3d24-420d-868f-c0a408d630ba,beautifulcat537,wutang,zfxMCkfq,d53502da9b4259b418674532f7812180,ed6e1dcb623281879d02474cb087cf4b3ee268a9,c95bf40ba9572c236cf9175c95d4438cb239fa7df24520342957838c18be3bb2,1946-03-24T15:49:25.094Z,76,2010-12-31T01:32:30.197Z,11,CPF,596.720.544-03,https://randomuser.me/api/portraits/women/26.jpg,https://randomuser.me/api/portraits/med/women/26.jpg,https://randomuser.me/api/portraits/thumb/women/26.jpg
327,female,jania.martins@example.com,(45) 3066-1072,(89) 3394-2375,BR,Miss,Jânia,Martins,6826,Avenida Brasil ,Itu,Santa Catarina,Brazil,82822,-85.3378,-35.8880,-10:00,Hawaii,76ceeb9c-5c8c-406a-80a9-3aa4ebba5f8b,brownbutterfly373,altoids,9oswsqAT,c966cdba9dd2c6be026b6174c9ce911d,5f0d3d178414eb6b52afaa7e27d5708df14700e7,d604b50a9006a46cfd3a408b54083e5a23c5b47b958c21c336c981c1419fe8b2,1974-03-16T05:30:43.871Z,48,2015-03-29T06:50:34.322Z,7,CPF,197.803.901-88,https://randomuser.me/api/portraits/women/24.jpg,https://randomuser.me/api/portraits/med/women/24.jpg,https://randomuser.me/api/portraits/thumb/women/24.jpg
378,female,edelina.cavalcanti@example.com,(38) 8376-8916,(32) 5147-5328,BR,Ms,Edelina,Cavalcanti,6340,Rua Espirito Santo ,Campos dos Goytacazes,Santa Catarina,Brazil,86779,-28.9493,94.3242,-8:00,Pacific Time (US & Canada),2b73ee95-3b5f-415a-89df-068e9802f012,beautifulgorilla176,marma,j8dVUOc5,043db850f7e2d2bd3bcc31ec7c8be867,9048dba4bfdaf7bf6f640eac5a199175c129a6d1,9746ed4e745595eb575d105450878ca1fe098c6234b4cb0e86329766c451cbf7,1949-08-17T12:46:26.637Z,73,2011-06-14T12:53:11.786Z,11,CPF,679.718.829-66,https://randomuser.me/api/portraits/women/88.jpg,https://randomuser.me/api/portraits/med/women/88.jpg,https://randomuser.me/api/portraits/thumb/women/88.jpg
406,female,ivana.melo@example.com,(52) 2149-5163,(92) 5289-5312,BR,Mrs,Ivana,Melo,5240,Avenida Vinícius de Morais,Goiânia,Santa Catarina,Brazil,58906,-48.7747,-119.1324,-7:00,Mountain Time (US & Canada),5109cc16-9ff0-4553-8c75-e5213ebf413b,ticklishtiger590,cooking,dYHqDbNG,57af5453a03d4151e1e2613e870b191c,5df347b44ec798329967127c6aeb16698b03832f,af14b5e7e433a04d46e27daca1bc1f6f47013e2bc41851f9c940c41e5b6ce224,1952-06-02T03:52:24.697Z,70,2018-08-16T02:05:17.402Z,4,CPF,890.605.777-71,https://randomuser.me/api/portraits/women/23.jpg,https://randomuser.me/api/portraits/med/women/23.jpg,https://randomuser.me/api/portraits/thumb/women/23.jpg
426,female,jovina.rodrigues@example.com,(80) 3895-7396,(65) 9217-4102,BR,Ms,Jovina,Rodrigues,7005,Avenida Vinícius de Morais,Itabuna,Santa Catarina,Brazil,92866,35.4521,-152.5370,+7:00,"Bangkok, Hanoi, Jakarta",1c0c9807-ee14-423c-88d8-381f9808247e,beautifulfish191,eeeee,p0TCbJzo,56fe5a4e38bde388d42a186ca198fe21,a878d5609897f3e1b627650c1a25aaae89f343c6,972b2c3ec101913a3c4c237d5d883df810d419f0270a172b130344046987f3ef,1958-06-09T09:53:29.902Z,64,2006-07-30T09:54:03.455Z,16,CPF,933.054.735-37,https://randomuser.me/api/portraits/women/44.jpg,https://randomuser.me/api/portraits/med/women/44.jpg,https://randomuser.me/api/portraits/thumb/women/44.jpg
497,female,zulma.mendes@example.com,(56) 5351-6397,(43) 9085-6236,BR,Mrs,Zulma,Mendes,5879,Rua Pará ,Vitória,Santa Catarina,Brazil,56078,79.8924,155.7327,+5:00,"Ekaterinburg, Islamabad, Karachi, Tashkent",6ff833be-97a2-4a7a-9aae-faf690035ae6,happytiger104,ninguna,b37lwN1d,de5c6b7b783aa185287ee8c481b5f77f,f12521f2e759b85c7f3800472dd5cab8629e8f5c,b22b067aa2340459ed7aa3bc18079368fec8eed37362b82cf0588b3888657d51,1998-05-27T13:34:31.989Z,24,2013-06-22T22:37:46.602Z,9,CPF,911.425.106-15,https://randomuser.me/api/portraits/women/22.jpg,https://randomuser.me/api/portraits/med/women/22.jpg,https://randomuser.me/api/portraits/thumb/women/22.jpg
